epoch: 1 loss: tensor(0.9591, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8448, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6626.1367, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9591, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7.1281, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8957, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(0.9293, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8107, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7646.8960, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9293, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(32.9320, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1031, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(0.7694, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8128, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7768.1445, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7694, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18.6238, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1526, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(1.0504, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8816, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8015.0010, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0504, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(28.1642, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3491, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(0.9315, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7919, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8047.4814, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9315, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(27.1270, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1182, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(0.8767, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7937, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7841.3140, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8767, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23.2180, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2004, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(0.8610, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8345, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8287.2275, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8610, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(10.9178, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2882, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(0.8978, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7750, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8126.4805, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8978, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21.2661, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1816, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(1.0249, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7833, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7979.3311, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0249, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(33.8202, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1976, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(0.8339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8278, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7735.8281, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(31.2488, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2885, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(0.8810, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7471, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8243.6494, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8810, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(58.6845, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2863, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(1.0253, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8071, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8256.7891, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0253, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(74.5148, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2123, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 23 loss: tensor(0.9109, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8131, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7974.7183, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9109, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(44.8050, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1869, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 24 loss: tensor(0.6935, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7276, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7988.6865, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6935, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(34.7724, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0822, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 25 loss: tensor(0.8769, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7855, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8098.5732, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8769, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(37.6089, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2683, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 26 loss: tensor(0.7117, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7498, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8111.1831, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7117, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(57.4214, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1085, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 27 loss: tensor(0.7675, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7877, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8186.0879, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7675, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(55.7942, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2336, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 28 loss: tensor(0.7346, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8141, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8267.3701, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7346, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(58.5445, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3562, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 29 loss: tensor(0.7684, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7051, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8059.8027, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7684, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(61.4697, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1031, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 30 loss: tensor(0.9848, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7800, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8312.2793, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9848, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(32.9311, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2885, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 31 loss: tensor(0.9076, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7098, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8134.8540, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9076, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22.3658, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2691, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 32 loss: tensor(1.0598, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7315, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8300.1084, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0598, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(39.0737, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2582, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 33 loss: tensor(0.8774, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7246, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8171.7246, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8774, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(51.6294, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1607, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 34 loss: tensor(0.7594, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7180, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8154.1025, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7594, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(55.5312, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1850, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 35 loss: tensor(0.8686, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6671, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8018.7231, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8686, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(74.2304, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1004, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 36 loss: tensor(0.9839, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8080, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8173.3857, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9839, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(96.5771, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3031, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 37 loss: tensor(0.7469, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6815, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8105.2974, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7469, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(116.8489, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1054, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 38 loss: tensor(0.8445, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7521, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8360.2432, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8445, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(96.3789, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1962, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 39 loss: tensor(0.8961, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7287, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8272.6035, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8961, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(98.5717, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1688, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 40 loss: tensor(0.7769, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7788, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8429.0791, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7769, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(81.5471, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1587, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 41 loss: tensor(0.8211, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7635, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8469.4316, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8211, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(102.6454, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0977, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 42 loss: tensor(0.9145, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8193, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8356.9785, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9145, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(52.9015, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3098, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 43 loss: tensor(0.7804, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6202, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8384.0664, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7804, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(36.6091, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9326, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 44 loss: tensor(0.8810, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8549.9287, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8810, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30.3484, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2105, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 45 loss: tensor(0.7554, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7785, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8489.9961, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7554, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(19.7875, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1807, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 46 loss: tensor(0.9564, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7698, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8500.4473, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9564, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(35.4982, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2015, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 47 loss: tensor(0.6973, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7844, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8522.3018, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6973, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(87.0251, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1898, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 48 loss: tensor(0.8436, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8214, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8576.6738, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8436, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(53.6728, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2244, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 49 loss: tensor(0.7685, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8224, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8485.9580, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7685, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(64.5727, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2344, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 50 loss: tensor(0.6180, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7534, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8505.8018, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6180, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(62.0264, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1457, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 51 loss: tensor(0.7778, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7562, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8503.3750, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7778, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(26.1841, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0893, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 52 loss: tensor(0.7999, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7737, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8448.7715, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7999, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(41.9636, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1773, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 53 loss: tensor(0.7039, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7478, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8513.9932, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7039, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(32.9981, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1186, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 54 loss: tensor(0.7416, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7268, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8611.1660, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7416, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24.7157, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0641, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 55 loss: tensor(0.6696, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8420, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8565.0840, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6696, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21.6045, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2444, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 56 loss: tensor(0.7872, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7643, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8625.8340, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7872, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(28.7194, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1805, device='cuda:0', grad_fn=<MseLossBackward0>)
