epoch: 1 loss: tensor(0.6898, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0451, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1995.0674, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7785, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6898, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68605904., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9325, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(0.4264, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8139, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1850.1500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4690, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4264, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68685488., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7554, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 23 loss: tensor(0.3818, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9359, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1940.4551, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4542, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3818, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68702640., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8523, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 24 loss: tensor(0.4723, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9650, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2066.1865, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5328, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4723, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68664832., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8586, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 25 loss: tensor(0.6679, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0160, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2134.9907, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7039, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6679, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68706912., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9091, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 26 loss: tensor(0.5690, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0231, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2091.2617, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6244, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5690, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68629688., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9040, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 27 loss: tensor(0.4699, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7441, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1755.7977, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5248, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4699, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68669176., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6435, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 28 loss: tensor(0.5893, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0329, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2205.4204, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6592, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5893, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68626288., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9162, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 29 loss: tensor(0.5469, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9635, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1957.6445, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6248, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5469, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68626528., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8874, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 30 loss: tensor(0.6503, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9679, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1911.3909, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6896, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6503, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68754992., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7902, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 31 loss: tensor(0.7986, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0449, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2282.2974, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8821, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7986, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68748368., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9480, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 32 loss: tensor(0.8320, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2254, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2145.7271, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8791, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8320, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68674528., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1136, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 33 loss: tensor(0.3982, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7998, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1756.6538, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4435, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3982, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68676256., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7167, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 34 loss: tensor(0.8212, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9727, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2213.6504, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8671, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8212, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68798400., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8870, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 35 loss: tensor(0.5348, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0279, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2234.5786, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5877, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5348, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68726576., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9264, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 36 loss: tensor(0.4989, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0418, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2000.7819, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5840, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4989, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68610736., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9779, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 37 loss: tensor(0.5192, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0776, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2348.9849, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5879, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5192, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68732048., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9609, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 38 loss: tensor(0.5920, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0032, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2391.4160, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7121, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5920, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68740208., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8839, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 39 loss: tensor(0.9033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9456, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2128.5962, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9598, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68666816., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8494, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 40 loss: tensor(0.7556, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0766, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2052.9780, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8445, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7556, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68682848., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0248, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 41 loss: tensor(0.4734, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8643, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2113.8188, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5227, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4734, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68682808., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7993, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 42 loss: tensor(0.5121, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9799, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2188.0232, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5593, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5121, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68726232., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8545, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 43 loss: tensor(0.4098, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8593, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1860.7865, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4463, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4098, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68650136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7788, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 44 loss: tensor(0.8018, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9526, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2135.9089, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8434, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8018, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68697968., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8812, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 45 loss: tensor(0.4682, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9487, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1938.4954, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5384, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4682, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68620728., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8143, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 46 loss: tensor(0.5615, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9899, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2055.3547, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6232, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5615, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68610816., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8516, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 47 loss: tensor(0.6095, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8650, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2035.0222, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6924, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6095, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68775840., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7926, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 48 loss: tensor(0.5781, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9828, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2087.1436, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7169, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5781, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68710448., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8636, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 49 loss: tensor(0.9050, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1244, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2406.1868, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9670, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9050, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68724752., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0070, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 50 loss: tensor(0.5816, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0913, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2035.1320, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6257, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5816, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68707872., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9900, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 51 loss: tensor(0.5629, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0582, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2236.5156, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6702, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5629, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68711072., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9263, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 52 loss: tensor(0.6304, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8762, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1808.8734, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6761, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6304, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68623520., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7688, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 53 loss: tensor(0.7930, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9970, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1998.3286, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8906, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7930, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68672080., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8513, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 54 loss: tensor(0.6237, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8914, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2065.0449, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6723, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6237, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68790096., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7774, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 55 loss: tensor(0.5687, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0085, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2080.8159, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6199, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5687, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68662944., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9073, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 56 loss: tensor(0.6678, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8590, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2051.1282, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7564, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6678, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68678448., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7821, device='cuda:0', grad_fn=<MseLossBackward0>)
