epoch: 1 loss: tensor(3.8547, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0045, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0240, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1215, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3412862.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8262, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(3.8538, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0108, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0294, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1058, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3563410.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8136, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(3.8883, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0077, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0815, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1188, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3085688.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7990, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(3.9974, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0092, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1245, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1113, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3084572., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8637, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(3.9879, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0098, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1134, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1169, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3415634.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8647, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(3.8988, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0097, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0639, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1129, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3398996., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8252, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(3.9312, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0072, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0497, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1241, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3159947.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8743, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(4.0733, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0109, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1872, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1095, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3288207.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8753, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(4.1000, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0102, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1903, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1187, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3407698.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8995, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(3.8860, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0094, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0320, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1084, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3521760., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8446, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(4.0312, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0114, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1085, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1105, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3443235., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9113, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(3.8037, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0098, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9750, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1230, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3316828., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8190, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 23 loss: tensor(3.9900, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0106, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0676, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1039, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3411584., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9118, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 24 loss: tensor(4.0454, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0089, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1889, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1150, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3319781.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8476, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 25 loss: tensor(3.9053, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0087, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0581, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1180, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3432285.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8384, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 26 loss: tensor(3.9546, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0113, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0725, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1084, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3403549., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8708, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 27 loss: tensor(4.0555, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0085, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1710, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1134, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3337175.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8759, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 28 loss: tensor(3.8907, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0115, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0793, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1106, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3132693.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7999, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 29 loss: tensor(4.0573, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0108, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2055, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1133, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3451533., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8410, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 30 loss: tensor(4.0490, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0102, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1618, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3218564.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8771, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 31 loss: tensor(4.0801, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0077, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2165, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1167, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3142954.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8559, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 32 loss: tensor(4.0621, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0079, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2170, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1232, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3264057.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8373, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 33 loss: tensor(4.0316, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0124, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1764, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1136, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3477596.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8429, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 34 loss: tensor(3.8577, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0091, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0168, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1055, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3099775., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8318, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 35 loss: tensor(4.0603, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0081, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2435, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1134, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3336132., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8087, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 36 loss: tensor(3.9814, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0083, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1266, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1241, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3332583.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8465, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 37 loss: tensor(3.9501, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0122, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0721, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1081, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3321223.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8658, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 38 loss: tensor(3.8571, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0097, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0604, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1106, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3521293.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7870, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 39 loss: tensor(3.8895, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0086, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0731, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3325693.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8078, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 40 loss: tensor(3.9186, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0110, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0593, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1095, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3213978.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8483, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 41 loss: tensor(4.0391, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0097, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1696, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1186, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3451547., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8598, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 42 loss: tensor(3.9396, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0067, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0536, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1157, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3136934., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8793, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 43 loss: tensor(3.9008, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0120, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1221, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1066, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3436254.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7666, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 44 loss: tensor(3.9577, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0096, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1487, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1162, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3449599., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7994, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 45 loss: tensor(3.8644, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0058, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0779, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1306, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3276545., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7807, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 46 loss: tensor(3.9615, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0119, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0965, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1055, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3489253.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8531, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 47 loss: tensor(4.0231, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0076, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1522, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1134, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3220913.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8633, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 48 loss: tensor(3.9470, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0103, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1003, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1113, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3443917.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8365, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 49 loss: tensor(3.9731, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0101, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1085, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1120, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3383810.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8545, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 50 loss: tensor(4.0487, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0093, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1507, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1111, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3340124.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8888, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 51 loss: tensor(3.9237, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0094, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0874, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1199, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3300096.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8269, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 52 loss: tensor(3.8439, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0104, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0420, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1188, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3234709., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7915, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 53 loss: tensor(3.8857, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0086, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0724, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1178, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3410013., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8047, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 54 loss: tensor(3.9224, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0074, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0253, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1271, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3291135., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8897, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 55 loss: tensor(3.9543, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0084, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0909, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1203, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3362804., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8549, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 56 loss: tensor(3.8619, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0098, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0179, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1171, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3252658., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8341, device='cuda:0', grad_fn=<MseLossBackward0>)
