epoch: 1 loss: tensor(1.0374, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0374, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(138427.2812, device='cuda:0', grad_fn=<MulBackward0>) tensor(387.6078, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(32.7105, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8052e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2279, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(0.5120, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5120, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16952.5273, device='cuda:0', grad_fn=<MulBackward0>) tensor(16.4753, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1802, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5617e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0263, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(0.4938, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4938, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18503.8633, device='cuda:0', grad_fn=<MulBackward0>) tensor(20.6323, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1133, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5619e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0128, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(0.6043, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6043, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20604.6211, device='cuda:0', grad_fn=<MulBackward0>) tensor(26.5298, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0679, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5594e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2610, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(0.5290, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5290, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20553.6133, device='cuda:0', grad_fn=<MulBackward0>) tensor(26.4348, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0849, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5606e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1118, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(0.5046, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5046, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21678.2188, device='cuda:0', grad_fn=<MulBackward0>) tensor(29.7700, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0662, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5605e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0581, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(0.5089, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5089, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(19261.2930, device='cuda:0', grad_fn=<MulBackward0>) tensor(22.1723, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0893, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5600e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0529, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(0.5076, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5076, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20877.9043, device='cuda:0', grad_fn=<MulBackward0>) tensor(27.1986, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0691, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5609e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0595, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(0.5335, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5335, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22353.2207, device='cuda:0', grad_fn=<MulBackward0>) tensor(31.5624, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0955, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5607e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1135, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(0.4840, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4840, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22931.8867, device='cuda:0', grad_fn=<MulBackward0>) tensor(33.4144, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0842, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5620e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0766, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(0.5022, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5022, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21148.3945, device='cuda:0', grad_fn=<MulBackward0>) tensor(28.1354, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0985, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5587e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0516, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(0.4610, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4610, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20516.0156, device='cuda:0', grad_fn=<MulBackward0>) tensor(26.0228, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1109, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5616e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9867, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 23 loss: tensor(0.5030, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5030, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22310.9688, device='cuda:0', grad_fn=<MulBackward0>) tensor(31.2706, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0544, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5613e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0871, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 24 loss: tensor(0.4836, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4836, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23811.5312, device='cuda:0', grad_fn=<MulBackward0>) tensor(36.1236, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0655, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5630e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1023, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 25 loss: tensor(0.5309, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5309, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(25445.3125, device='cuda:0', grad_fn=<MulBackward0>) tensor(41.0393, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0336, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5633e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1975, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 26 loss: tensor(0.5065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22322.7578, device='cuda:0', grad_fn=<MulBackward0>) tensor(31.3691, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0478, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5633e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1330, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 27 loss: tensor(0.4929, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4929, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22460.5625, device='cuda:0', grad_fn=<MulBackward0>) tensor(32.0362, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0642, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5621e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0705, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 28 loss: tensor(0.5109, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5109, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21855.8789, device='cuda:0', grad_fn=<MulBackward0>) tensor(30.0514, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0587, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5622e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1513, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 29 loss: tensor(0.5056, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5056, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24196.6465, device='cuda:0', grad_fn=<MulBackward0>) tensor(37.2528, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0429, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5637e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1539, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 30 loss: tensor(0.4736, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4736, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22363.9199, device='cuda:0', grad_fn=<MulBackward0>) tensor(31.3363, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0526, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5637e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0474, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 31 loss: tensor(0.4674, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4674, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23430.1914, device='cuda:0', grad_fn=<MulBackward0>) tensor(35.0187, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0515, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5639e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0545, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 32 loss: tensor(0.4262, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4262, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22581.7031, device='cuda:0', grad_fn=<MulBackward0>) tensor(32.4358, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0551, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5625e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9786, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 33 loss: tensor(0.4960, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4960, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23515.1719, device='cuda:0', grad_fn=<MulBackward0>) tensor(34.8590, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0567, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5629e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1477, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 34 loss: tensor(0.4748, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4748, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23163.7383, device='cuda:0', grad_fn=<MulBackward0>) tensor(34.0531, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0634, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5630e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0969, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 35 loss: tensor(0.4655, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4655, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21555.1992, device='cuda:0', grad_fn=<MulBackward0>) tensor(29.1425, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0578, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5621e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0471, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 36 loss: tensor(0.4655, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4655, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23296.9297, device='cuda:0', grad_fn=<MulBackward0>) tensor(34.3729, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0542, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5654e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0841, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 37 loss: tensor(0.4558, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4558, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24838.0703, device='cuda:0', grad_fn=<MulBackward0>) tensor(38.9989, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0520, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5643e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0367, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 38 loss: tensor(0.4744, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4744, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(26968.4043, device='cuda:0', grad_fn=<MulBackward0>) tensor(45.6695, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0522, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5645e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0888, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 39 loss: tensor(0.5038, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5038, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22681.3555, device='cuda:0', grad_fn=<MulBackward0>) tensor(32.4641, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0613, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5645e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1201, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 40 loss: tensor(0.4719, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4719, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24416.2520, device='cuda:0', grad_fn=<MulBackward0>) tensor(37.9126, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0587, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5637e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0581, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 41 loss: tensor(0.4839, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4839, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24882.4609, device='cuda:0', grad_fn=<MulBackward0>) tensor(39.1156, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0675, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5650e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1099, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 42 loss: tensor(0.4580, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4580, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22869.2852, device='cuda:0', grad_fn=<MulBackward0>) tensor(33.2841, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0520, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5663e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0555, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 43 loss: tensor(0.4697, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4697, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23805.4199, device='cuda:0', grad_fn=<MulBackward0>) tensor(35.9955, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0447, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5658e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0441, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 44 loss: tensor(0.4423, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4423, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22882.5234, device='cuda:0', grad_fn=<MulBackward0>) tensor(33.1951, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0613, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5652e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0526, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 45 loss: tensor(0.4482, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4482, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22746.0234, device='cuda:0', grad_fn=<MulBackward0>) tensor(32.5750, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0476, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5673e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0834, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 46 loss: tensor(0.4508, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4508, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23414.2402, device='cuda:0', grad_fn=<MulBackward0>) tensor(34.7029, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0414, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5679e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0645, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 47 loss: tensor(0.4555, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4555, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24307.7891, device='cuda:0', grad_fn=<MulBackward0>) tensor(37.4207, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0416, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5684e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0828, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 48 loss: tensor(0.4657, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4657, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22808.2441, device='cuda:0', grad_fn=<MulBackward0>) tensor(32.8729, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0462, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5654e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0805, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 49 loss: tensor(0.4501, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4501, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24988.8516, device='cuda:0', grad_fn=<MulBackward0>) tensor(39.6312, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0393, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5661e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0624, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 50 loss: tensor(0.4248, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4248, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23509.8906, device='cuda:0', grad_fn=<MulBackward0>) tensor(34.9447, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0417, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5664e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0427, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 51 loss: tensor(0.4832, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4832, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24510.3008, device='cuda:0', grad_fn=<MulBackward0>) tensor(38.1646, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0437, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5666e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1268, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 52 loss: tensor(0.4553, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4553, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24360.6855, device='cuda:0', grad_fn=<MulBackward0>) tensor(37.5732, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0449, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5653e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0581, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 53 loss: tensor(0.4854, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4854, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24526.0039, device='cuda:0', grad_fn=<MulBackward0>) tensor(38.2039, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0413, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5654e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1725, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 54 loss: tensor(0.4723, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4723, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(25163.8750, device='cuda:0', grad_fn=<MulBackward0>) tensor(39.6957, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0399, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5655e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1444, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 55 loss: tensor(0.4263, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4263, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20886.1523, device='cuda:0', grad_fn=<MulBackward0>) tensor(27.0057, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0490, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5658e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0044, device='cuda:0', grad_fn=<MseLossBackward0>)
