epoch: 1 loss: tensor(3.5805, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 77 loss: tensor(0.1728, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 78 loss: tensor(0.1676, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 79 loss: tensor(0.1574, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 80 loss: tensor(0.1581, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 81 loss: tensor(0.1597, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 82 loss: tensor(0.1608, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 83 loss: tensor(0.1554, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 84 loss: tensor(0.1596, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 85 loss: tensor(0.1550, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 86 loss: tensor(0.1419, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 87 loss: tensor(0.1526, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 88 loss: tensor(0.1695, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 89 loss: tensor(0.1550, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 90 loss: tensor(0.1451, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 91 loss: tensor(0.1536, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 92 loss: tensor(0.1476, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 93 loss: tensor(0.1510, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 94 loss: tensor(0.1529, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 95 loss: tensor(0.1591, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 97 loss: tensor(0.1521, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 97 loss: tensor(0.1521, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 100 loss: tensor(0.1499, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 103 loss: tensor(0.1483, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 103 loss: tensor(0.1483, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 106 loss: tensor(0.1434, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 109 loss: tensor(0.1443, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 112 loss: tensor(0.1342, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 112 loss: tensor(0.1342, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 115 loss: tensor(0.1410, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 118 loss: tensor(0.1408, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 118 loss: tensor(0.1408, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 121 loss: tensor(0.1339, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 124 loss: tensor(0.1251, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 124 loss: tensor(0.1251, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 127 loss: tensor(0.1298, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 130 loss: tensor(0.1393, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 130 loss: tensor(0.1393, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 133 loss: tensor(0.1260, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 136 loss: tensor(0.1250, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 139 loss: tensor(0.1336, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 139 loss: tensor(0.1336, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 142 loss: tensor(0.1317, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 145 loss: tensor(0.1226, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 145 loss: tensor(0.1226, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 148 loss: tensor(0.1153, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 151 loss: tensor(0.1207, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 151 loss: tensor(0.1207, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 154 loss: tensor(0.1250, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 157 loss: tensor(0.1190, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 157 loss: tensor(0.1190, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 160 loss: tensor(0.1238, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 163 loss: tensor(0.1074, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 166 loss: tensor(0.1074, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 166 loss: tensor(0.1178, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 169 loss: tensor(0.1092, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 172 loss: tensor(0.1208, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 172 loss: tensor(0.1208, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 175 loss: tensor(0.1080, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 178 loss: tensor(0.1094, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 178 loss: tensor(0.1094, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 181 loss: tensor(0.1143, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 184 loss: tensor(0.1148, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 184 loss: tensor(0.1148, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 187 loss: tensor(0.1020, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 190 loss: tensor(0.1030, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 190 loss: tensor(0.1030, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 193 loss: tensor(0.1089, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 196 loss: tensor(0.1049, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 196 loss: tensor(0.1049, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 199 loss: tensor(0.1068, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 199 loss: tensor(0.1068, device='cuda:0', grad_fn=<AddBackward0>)
