epoch: 1 loss: tensor(1.2242, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2242, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8.1704, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1277, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1087, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(113440.8125, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2327, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(0.5757, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5757, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(233.4543, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5909, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0881, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20192976., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5414, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(0.6009, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6009, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(281.3303, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7146, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1999, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21978500., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6161, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(0.5938, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5938, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(366.4771, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9447, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2938, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18579596., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5723, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(0.5820, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5820, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(522.8278, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3610, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3235, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18603912., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5671, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 23 loss: tensor(0.5842, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5842, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(432.3909, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1281, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2498, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20071880., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6104, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 24 loss: tensor(0.5900, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5900, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(594.7495, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5892, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1259, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20090532., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5995, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 25 loss: tensor(0.5245, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5245, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(548.9804, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4397, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1481, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18185704., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5102, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 26 loss: tensor(0.4886, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4886, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(454.9736, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1829, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1433, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(19915992., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4768, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 27 loss: tensor(0.5652, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5652, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(530.4733, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4031, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1354, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20711824., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6372, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 28 loss: tensor(0.5353, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5353, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(514.5150, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3756, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0716, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24319170., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6622, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 29 loss: tensor(0.5357, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5357, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(630.3063, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6545, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0402, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22995316., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5837, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 30 loss: tensor(0.5474, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5474, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(476.9863, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2581, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0252, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22917992., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6852, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 31 loss: tensor(0.5294, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5294, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(497.2036, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3044, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0551, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21740956., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6158, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 32 loss: tensor(0.5398, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5398, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(531.2762, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4155, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0424, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24086618., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6498, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 33 loss: tensor(0.5290, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5290, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(605.2336, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5989, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0315, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22520088., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5868, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 34 loss: tensor(0.5222, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5222, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(768.7775, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.0380, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0324, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23837292., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5883, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 35 loss: tensor(0.5293, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5293, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(645.4890, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7319, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0239, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(25452558., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6409, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 36 loss: tensor(0.4902, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4902, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(707.1879, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8603, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0221, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24312832., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5966, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 37 loss: tensor(0.5294, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5294, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(648.2201, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7121, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0280, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(26348704., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6728, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 38 loss: tensor(0.4934, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4934, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(600.9392, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5590, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0297, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24959688., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6072, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 39 loss: tensor(0.5031, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5031, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(709.6195, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8719, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0190, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(25071282., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6443, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 40 loss: tensor(0.5071, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5071, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(633.6324, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6644, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0188, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(26825984., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6179, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 41 loss: tensor(0.5068, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5068, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(960.3584, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.5903, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0242, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(27594132., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6449, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 42 loss: tensor(0.4989, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4989, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(844.7487, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2474, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0186, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(27201004., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6546, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 43 loss: tensor(0.5065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(730.7939, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9218, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0133, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(26025148., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6155, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 44 loss: tensor(0.5033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(833.8250, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2609, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0227, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(26837576., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6596, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 45 loss: tensor(0.5094, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5094, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(765.2477, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.0574, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0205, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(26092696., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6306, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 46 loss: tensor(0.4478, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4478, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(728.6716, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9292, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0184, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23873932., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5667, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 47 loss: tensor(0.4983, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4983, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(731.9757, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9502, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0183, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24710684., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6002, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 48 loss: tensor(0.5019, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5019, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(689.5752, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8407, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0153, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(25206276., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6051, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 49 loss: tensor(0.4889, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4889, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(961.1051, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.5916, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0174, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(25069632., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6186, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 50 loss: tensor(0.4591, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4591, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(674.8579, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8247, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0169, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24031784., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5930, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 51 loss: tensor(0.4892, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4892, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(779.5043, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1055, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0246, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(25370830., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6853, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 52 loss: tensor(0.4302, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4302, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(639.8110, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6513, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0217, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23841196., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5116, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 53 loss: tensor(0.4740, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4740, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(920.8074, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.4498, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0173, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23063948., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5725, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 54 loss: tensor(0.4771, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4771, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(875.4740, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3429, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0279, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21347192., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5550, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 55 loss: tensor(0.4575, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4575, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(996.0190, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.6442, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0269, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20287360., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5496, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 56 loss: tensor(0.4548, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4548, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(688.0950, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8480, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0190, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23149976., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5693, device='cuda:0', grad_fn=<MseLossBackward0>)
