epoch: 1 loss: tensor(214.9493, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3470, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(214.9493, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5990, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1574, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283406., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3470, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(197.1478, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2118, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1478, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1865, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2384, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283490., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2118, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(197.1447, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2962, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1447, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8359, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2403, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283968., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2962, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(197.1359, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3462, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1359, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0128, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2604, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283716., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3462, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(197.1399, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2779, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1399, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1168, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2807, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283392., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2779, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(197.1449, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3073, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1449, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1530, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2478, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283186., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3073, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(197.1415, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1013, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1415, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8918, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1928, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283336., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1013, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(197.1360, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0492, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1360, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8592, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2711, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283422., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0493, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(197.1320, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1234, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1320, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9607, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2783, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283432., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1234, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(197.1346, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3612, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1346, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9257, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2749, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283512., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3613, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(197.1348, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0581, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1348, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9585, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2799, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283520., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0581, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(197.1377, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2825, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1377, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6903, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2193, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24284088., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2825, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 23 loss: tensor(197.1357, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9693, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1357, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7888, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3241, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283306., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9693, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 24 loss: tensor(197.1349, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1240, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1349, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0737, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2768, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283496., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1240, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 25 loss: tensor(197.1334, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1290, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1334, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1961, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2979, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283408., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1291, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 26 loss: tensor(197.1341, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1542, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1341, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7210, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2221, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283624., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1543, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 27 loss: tensor(197.1310, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1332, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1310, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2744, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2549, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24282968., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1332, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 28 loss: tensor(197.1332, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0747, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1332, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6994, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3251, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283584., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0748, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 29 loss: tensor(197.1325, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1173, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1325, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9518, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2300, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283442., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1172, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 30 loss: tensor(197.1358, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0574, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1358, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7604, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2431, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283380., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0574, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 31 loss: tensor(197.1312, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1050, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1312, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0264, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2797, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283572., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1050, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 32 loss: tensor(197.1296, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1327, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1296, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8830, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2656, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283364., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1328, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 33 loss: tensor(197.1315, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0961, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1315, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0656, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2538, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283390., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0961, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 34 loss: tensor(197.1315, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1745, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1315, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9464, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1965, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283916., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1746, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 35 loss: tensor(197.1294, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2375, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1294, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9594, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2980, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283938., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2376, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 36 loss: tensor(197.1293, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2661, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1293, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9584, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2606, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283948., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2661, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 37 loss: tensor(197.1303, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3315, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1303, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8928, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2776, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283468., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3316, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 38 loss: tensor(197.1305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1978, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9325, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2837, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283872., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1978, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 39 loss: tensor(197.1358, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2261, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1358, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7550, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3004, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24282864., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2261, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 40 loss: tensor(197.1299, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2060, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1299, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9220, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2389, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24284052., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2060, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 41 loss: tensor(197.1298, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1667, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1298, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6931, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2280, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283460., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1667, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 42 loss: tensor(197.1299, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5389, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1299, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0159, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2948, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283836., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5389, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 43 loss: tensor(197.1333, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0407, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1333, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8404, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2286, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283280., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0407, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 44 loss: tensor(197.1307, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1716, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1307, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2546, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2778, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283596., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1717, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 45 loss: tensor(197.1305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2914, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7191, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3042, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24284140., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2914, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 46 loss: tensor(197.1312, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0467, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1312, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1926, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2305, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283762., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0467, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 47 loss: tensor(197.1296, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3030, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1296, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7627, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2413, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283260., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3030, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 48 loss: tensor(197.1290, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2060, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1290, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8254, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2707, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283108., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2060, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 49 loss: tensor(197.1299, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2676, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1299, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7885, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2625, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283724., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2676, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 50 loss: tensor(197.1301, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1793, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1301, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8578, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2836, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24284220., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1793, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 51 loss: tensor(197.1317, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1914, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1317, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1348, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2378, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283646., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1914, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 52 loss: tensor(197.1302, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0637, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1302, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8260, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3359, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283432., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0637, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 53 loss: tensor(197.1297, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2022, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1297, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0374, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2233, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283688., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2023, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 54 loss: tensor(197.1296, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2885, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1296, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1856, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2449, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283304., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2885, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 55 loss: tensor(197.1288, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0431, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1288, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3871, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2806, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283288., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0432, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 56 loss: tensor(197.1290, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2027, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1290, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8415, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3432, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283484., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2027, device='cuda:0', grad_fn=<MseLossBackward0>)
